States,Year,Quarter,Trans_Type,Trans_Counts,Amount
Andhra Pradesh,2019,2,"Recharge , bill payments",14093964,4708345388
Andhra Pradesh,2019,2,Merchant payments,9226537,4613405203
Andhra Pradesh,2019,2,Financial Services,145310,26626696.77
Andhra Pradesh,2019,2,Others,448802,361492238.4
Andhra Pradesh,2019,3,Peer to Peer Payments,39023491,1.24E+11
Andhra Pradesh,2019,3,"Recharge , bill payments",20147629,6893984677
Andhra Pradesh,2019,3,Merchant payments,16581787,7887394038
Andhra Pradesh,2019,3,Financial Services,122270,29778183.03
Andhra Pradesh,2019,3,Others,413437,298142027.6
Andhra Pradesh,2019,4,Peer to Peer Payments,57181511,1.79E+11
Andhra Pradesh,2019,4,Merchant payments,25122370,13476303368
Andhra Pradesh,2019,4,"Recharge , bill payments",24469888,8335168606
Andhra Pradesh,2019,4,Financial Services,105662,26796571.75
Andhra Pradesh,2019,4,Others,338672,216496893.2
Andhra Pradesh,2020,1,Peer to Peer Payments,65452143,2.23E+11
Andhra Pradesh,2020,1,Merchant payments,31408022,18603161784
Andhra Pradesh,2020,1,"Recharge , bill payments",30449644,10813530778
Andhra Pradesh,2020,1,Financial Services,75238,43739133.17
Andhra Pradesh,2020,1,Others,292310,188228538.4
Andhra Pradesh,2020,2,Peer to Peer Payments,73609921,2.63E+11
Andhra Pradesh,2020,2,"Recharge , bill payments",41013987,16991006437
Andhra Pradesh,2020,2,Merchant payments,29976765,22625596525
Andhra Pradesh,2020,2,Financial Services,140941,145274999.2
Andhra Pradesh,2020,2,Others,176241,90087654.6
Andhra Pradesh,2020,3,Peer to Peer Payments,106791894,4.06E+11
Andhra Pradesh,2020,3,Merchant payments,54055557,40739580214
Andhra Pradesh,2020,3,"Recharge , bill payments",43500067,19475104675
Andhra Pradesh,2020,3,Financial Services,243088,256074924.7
Andhra Pradesh,2020,3,Others,312329,151582519.2
Andhra Pradesh,2020,4,Peer to Peer Payments,152003791,5.67E+11
Andhra Pradesh,2020,4,Merchant payments,86581460,66654048150
Andhra Pradesh,2020,4,"Recharge , bill payments",46810304,20936337212
Andhra Pradesh,2020,4,Financial Services,265470,305168772.5
Andhra Pradesh,2020,4,Others,457527,306853355.6
Andhra Pradesh,2021,1,Peer to Peer Payments,149313738,5.81E+11
Andhra Pradesh,2021,1,Merchant payments,97920281,70813192713
Andhra Pradesh,2021,1,"Recharge , bill payments",41940689,20546424964
Andhra Pradesh,2021,1,Financial Services,225355,270313028.5
Andhra Pradesh,2021,1,Others,347907,272546457.6
Andhra Pradesh,2021,2,Peer to Peer Payments,189614879,7.37E+11
Andhra Pradesh,2021,2,Merchant payments,112875274,88512429437
Andhra Pradesh,2021,2,"Recharge , bill payments",49626902,24646800345
Andhra Pradesh,2021,2,Financial Services,243237,265483044.4
Andhra Pradesh,2021,2,Others,406842,308302224.4
Andhra Pradesh,2021,3,Peer to Peer Payments,221280317,8.38E+11
Andhra Pradesh,2021,3,Merchant payments,158290953,1.18E+11
Andhra Pradesh,2021,3,"Recharge , bill payments",51702350,27511344958
Andhra Pradesh,2021,3,Financial Services,211171,297239697.8
Andhra Pradesh,2021,3,Others,547759,403948275.6
Andhra Pradesh,2021,4,Peer to Peer Payments,262006450,9.71E+11
Andhra Pradesh,2021,4,Merchant payments,207538904,1.53E+11
Andhra Pradesh,2021,4,"Recharge , bill payments",51762842,31232784714
Andhra Pradesh,2021,4,Financial Services,243951,332740108.7
Andhra Pradesh,2021,4,Others,701856,545223415.7
Andhra Pradesh,2022,1,Peer to Peer Payments,288488560,1.09E+12
Andhra Pradesh,2022,1,Merchant payments,242031836,1.69E+11
Andhra Pradesh,2022,1,"Recharge , bill payments",51224170,34473036842
Andhra Pradesh,2022,1,Financial Services,231651,324358965.1
Andhra Pradesh,2022,1,Others,627694,474382234.3
Andhra Pradesh,2022,2,Peer to Peer Payments,321362337,1.23E+12
Andhra Pradesh,2022,2,Merchant payments,292530048,2.05E+11
Andhra Pradesh,2022,2,"Recharge , bill payments",56606969,42408541939
Andhra Pradesh,2022,2,Financial Services,192751,245783011
Andhra Pradesh,2022,2,Others,441925,357036084.9
Andhra Pradesh,2022,3,Peer to Peer Payments,298804000,1.14E+12
Andhra Pradesh,2022,3,Merchant payments,291033653,2.03E+11
Andhra Pradesh,2022,3,"Recharge , bill payments",52467708,41438764826
Andhra Pradesh,2022,3,Financial Services,187190,239347241.5
Andhra Pradesh,2022,3,Others,362484,323951101.6
Andhra Pradesh,2022,4,Merchant payments,321632104,2.12E+11
Andhra Pradesh,2022,4,Peer to Peer Payments,315734006,1.17E+12
Andhra Pradesh,2022,4,"Recharge , bill payments",52098850,41986837706
Andhra Pradesh,2022,4,Financial Services,206459,250596592.1
Andhra Pradesh,2022,4,Others,345658,339211363
Arunachal Pradesh,2018,1,"Recharge , bill payments",28729,5184132.515
Arunachal Pradesh,2018,1,Peer to Peer Payments,13320,82889682.72
Arunachal Pradesh,2018,1,Merchant payments,1042,2420374.191
Arunachal Pradesh,2018,1,Financial Services,416,58893.76202
Arunachal Pradesh,2018,1,Others,1990,1834252.818
Arunachal Pradesh,2018,2,"Recharge , bill payments",50700,10468878.54
Arunachal Pradesh,2018,2,Peer to Peer Payments,26477,181576281.2
Arunachal Pradesh,2018,2,Merchant payments,2378,4718953.44
Arunachal Pradesh,2018,2,Financial Services,559,363761.8016
Arunachal Pradesh,2018,2,Others,2043,1842317.369
Arunachal Pradesh,2018,3,"Recharge , bill payments",74122,15997565.91
Arunachal Pradesh,2018,3,Peer to Peer Payments,49740,308106303.5
Arunachal Pradesh,2018,3,Merchant payments,4738,5505694.568
Arunachal Pradesh,2018,3,Financial Services,507,72133.84525
Arunachal Pradesh,2018,3,Others,2039,2044708.969
Arunachal Pradesh,2018,4,"Recharge , bill payments",97751,20662691.88
Arunachal Pradesh,2018,4,Peer to Peer Payments,68169,468831493.2
Arunachal Pradesh,2018,4,Merchant payments,7726,11998974.1
Arunachal Pradesh,2018,4,Financial Services,561,100597.9038
Arunachal Pradesh,2018,4,Others,2222,2446271.969
Arunachal Pradesh,2019,1,"Recharge , bill payments",121303,26796895
Arunachal Pradesh,2019,1,Peer to Peer Payments,93494,568554821.4
Arunachal Pradesh,2019,1,Merchant payments,9214,11727218.4
Arunachal Pradesh,2019,1,Financial Services,256,140622.8709
Arunachal Pradesh,2019,1,Others,2239,2730548.598
Arunachal Pradesh,2019,2,"Recharge , bill payments",131988,30420803.41
Arunachal Pradesh,2019,2,Peer to Peer Payments,106527,704237943.4
Arunachal Pradesh,2019,2,Merchant payments,16828,13955724.13
Arunachal Pradesh,2019,2,Financial Services,267,160660.8821
Arunachal Pradesh,2019,2,Others,3046,3880742.524
Arunachal Pradesh,2019,3,"Recharge , bill payments",216228,50946104.94
Arunachal Pradesh,2019,3,Peer to Peer Payments,133484,841037395.2
Arunachal Pradesh,2019,3,Merchant payments,16900,17178248.07
Arunachal Pradesh,2019,3,Financial Services,864,64089.1135
Arunachal Pradesh,2019,3,Others,2758,3419197.418
Arunachal Pradesh,2019,4,"Recharge , bill payments",259183,63516906.09
Arunachal Pradesh,2019,4,Peer to Peer Payments,177833,1100137448
Arunachal Pradesh,2019,4,Merchant payments,19769,23192271.69
Arunachal Pradesh,2019,4,Financial Services,314,305379.7988
Arunachal Pradesh,2019,4,Others,2376,3421174.012
Arunachal Pradesh,2020,1,"Recharge , bill payments",329834,86011654.77
Arunachal Pradesh,2020,1,Peer to Peer Payments,203429,1263912288
Arunachal Pradesh,2020,1,Merchant payments,31181,28553052.13
Arunachal Pradesh,2020,1,Financial Services,470,337812.9482
Arunachal Pradesh,2020,1,Others,2261,2943873.067
Arunachal Pradesh,2020,2,"Recharge , bill payments",522495,145198528.2
Arunachal Pradesh,2020,2,Peer to Peer Payments,247861,1630654426
Arunachal Pradesh,2020,2,Merchant payments,35169,46446966.61
Arunachal Pradesh,2020,2,Financial Services,1310,2655507.696
Arunachal Pradesh,2020,2,Others,1939,1761404.402
Arunachal Pradesh,2020,3,"Recharge , bill payments",514907,153463816.2
Arunachal Pradesh,2020,3,Peer to Peer Payments,370418,2361603431
Arunachal Pradesh,2020,3,Merchant payments,72736,88145178.69
Arunachal Pradesh,2020,3,Financial Services,1761,4030599.917
Arunachal Pradesh,2020,3,Others,3005,2695539.361
Arunachal Pradesh,2020,4,Peer to Peer Payments,522019,3254744938
Arunachal Pradesh,2020,4,"Recharge , bill payments",513895,152389181.2
Arunachal Pradesh,2020,4,Merchant payments,167387,156682926
Arunachal Pradesh,2020,4,Financial Services,1749,2391651.878
Arunachal Pradesh,2020,4,Others,4079,4055324.315
Arunachal Pradesh,2021,1,Peer to Peer Payments,566209,3460488559
Arunachal Pradesh,2021,1,"Recharge , bill payments",450649,142358376.9
Arunachal Pradesh,2021,1,Merchant payments,155966,204958020.1
Arunachal Pradesh,2021,1,Financial Services,1558,2672460.474
Arunachal Pradesh,2021,1,Others,3074,3301662.609
Arunachal Pradesh,2021,2,Peer to Peer Payments,762946,4000960152
Arunachal Pradesh,2021,2,"Recharge , bill payments",556680,165579844.3
Arunachal Pradesh,2021,2,Merchant payments,243375,283709438.5
Arunachal Pradesh,2021,2,Financial Services,1582,2761076.793
Arunachal Pradesh,2021,2,Others,3755,3415105.338
Arunachal Pradesh,2021,3,Peer to Peer Payments,986088,5033603845
Arunachal Pradesh,2021,3,"Recharge , bill payments",600102,187390578.3
Arunachal Pradesh,2021,3,Merchant payments,314658,449869060.8
Arunachal Pradesh,2021,3,Financial Services,1934,3348547.827
Arunachal Pradesh,2021,3,Others,4185,3912143.35
Arunachal Pradesh,2021,4,Peer to Peer Payments,1227616,6022733378
Arunachal Pradesh,2021,4,"Recharge , bill payments",633248,207784816.3
Arunachal Pradesh,2021,4,Merchant payments,521447,704195695
Arunachal Pradesh,2021,4,Financial Services,2386,3933557.28
Arunachal Pradesh,2021,4,Others,5901,4862905.886
Arunachal Pradesh,2022,1,Peer to Peer Payments,1403584,6670641250
Arunachal Pradesh,2022,1,Merchant payments,720803,917155358.7
Arunachal Pradesh,2022,1,"Recharge , bill payments",670576,231933129
Arunachal Pradesh,2022,1,Financial Services,3053,3359625.793
Arunachal Pradesh,2022,1,Others,6052,5002264.113
Arunachal Pradesh,2022,2,Peer to Peer Payments,1751568,7627061475
Arunachal Pradesh,2022,2,Merchant payments,1108353,1255513517
Arunachal Pradesh,2022,2,"Recharge , bill payments",688770,241162643.2
Arunachal Pradesh,2022,2,Financial Services,2466,4063469.1
Arunachal Pradesh,2022,2,Others,5768,3864269.88
Arunachal Pradesh,2022,3,Peer to Peer Payments,1967086,7365427284
Arunachal Pradesh,2022,3,Merchant payments,1316326,1413247143
Arunachal Pradesh,2022,3,"Recharge , bill payments",649322,238448083.8
Arunachal Pradesh,2022,3,Financial Services,1997,4763324.776
Arunachal Pradesh,2022,3,Others,4687,3224948.702
Arunachal Pradesh,2022,4,Peer to Peer Payments,2251135,7768088688
Arunachal Pradesh,2022,4,Merchant payments,1704968,1669602213
Arunachal Pradesh,2022,4,"Recharge , bill payments",669151,239412553.6
Arunachal Pradesh,2022,4,Financial Services,2617,3785469.399
Arunachal Pradesh,2022,4,Others,4838,4020773.895
Assam,2018,1,"Recharge , bill payments",632092,93491181.14
Assam,2018,1,Peer to Peer Payments,318025,993525196
Assam,2018,1,Merchant payments,40482,34501622.89
Assam,2018,1,Financial Services,18172,4936862.201
Assam,2018,1,Others,48110,31349594
Assam,2018,2,"Recharge , bill payments",984160,174427478.2
Assam,2018,2,Peer to Peer Payments,530781,2064314053
Assam,2018,2,Merchant payments,79307,73366344.81
Assam,2018,2,Financial Services,22773,7051504.658
Assam,2018,2,Others,46852,31425754.73
Assam,2018,3,"Recharge , bill payments",1275136,254569069.3
Assam,2018,3,Peer to Peer Payments,843571,3424136710
Assam,2018,3,Merchant payments,159532,96783839.37
Assam,2018,3,Financial Services,22677,4741123.822
Assam,2018,3,Others,50935,30904247.88
Assam,2018,4,"Recharge , bill payments",1703488,317661277.3
Assam,2018,4,Peer to Peer Payments,1279089,5284776455
Assam,2018,4,Merchant payments,667293,240563395.3
Assam,2018,4,Financial Services,28035,6331912.527
Assam,2018,4,Others,56267,38689818.79
Assam,2019,1,"Recharge , bill payments",1993220,400281677.9
Assam,2019,1,Peer to Peer Payments,1976310,7291433301
Assam,2019,1,Merchant payments,494871,266644645.7
Assam,2019,1,Financial Services,20162,4612454.113
Assam,2019,1,Others,48442,39127457.94
Assam,2019,2,"Recharge , bill payments",2512932,539315772.9
Assam,2019,2,Peer to Peer Payments,2293770,10035232821
Assam,2019,2,Merchant payments,573646,326844709.6
Assam,2019,2,Financial Services,13654,4037222.414
Assam,2019,2,Others,60927,49538663.41
Assam,2019,3,Peer to Peer Payments,2713539,11835800855
Assam,2019,3,"Recharge , bill payments",2645302,639885372.7
Assam,2019,3,Merchant payments,513728,421380275.4
Assam,2019,3,Financial Services,8606,6403456.345
Assam,2019,3,Others,61396,46973660.74
Assam,2019,4,Peer to Peer Payments,3222143,14083346879
Assam,2019,4,"Recharge , bill payments",2937800,704118874
Assam,2019,4,Merchant payments,544053,456318130.1
Assam,2019,4,Financial Services,9621,3492255.086
Assam,2019,4,Others,46893,34707757.01
Assam,2020,1,Peer to Peer Payments,4058740,18977446152
Assam,2020,1,"Recharge , bill payments",3897975,971722606.2
Assam,2020,1,Merchant payments,792646,675423853
Assam,2020,1,Financial Services,10173,7054325.508
Assam,2020,1,Others,49326,36781411.34
Assam,2020,2,"Recharge , bill payments",6045321,1612522829
Assam,2020,2,Peer to Peer Payments,3648386,17358374071
Assam,2020,2,Merchant payments,742400,749018053.2
Assam,2020,2,Financial Services,19814,18130004.69
Assam,2020,2,Others,49278,28255168.01
Assam,2020,3,Peer to Peer Payments,5637893,26646565777
Assam,2020,3,"Recharge , bill payments",5292154,1627282416
Assam,2020,3,Merchant payments,1383230,1492484153
Assam,2020,3,Financial Services,24954,28452966.03
Assam,2020,3,Others,59480,36605946.75
Assam,2020,4,Peer to Peer Payments,7538478,36013292451
Assam,2020,4,"Recharge , bill payments",5383505,1662189124
Assam,2020,4,Merchant payments,2392184,2466913306
Assam,2020,4,Financial Services,29764,32314809.98
Assam,2020,4,Others,79523,51901628.47
Assam,2021,1,Peer to Peer Payments,9449096,45476079487
Assam,2021,1,"Recharge , bill payments",6494111,2103017762
Assam,2021,1,Merchant payments,3459132,3657261586
Assam,2021,1,Financial Services,34049,41291047.38
Assam,2021,1,Others,75672,48814663.89
Assam,2021,2,Peer to Peer Payments,11668399,51521387891
Assam,2021,2,"Recharge , bill payments",9058005,2657676415
Assam,2021,2,Merchant payments,4562669,4914753140
Assam,2021,2,Financial Services,49671,46106001.5
Assam,2021,2,Others,94161,52549929.27
Assam,2021,3,Peer to Peer Payments,15617592,64131823895
Assam,2021,3,"Recharge , bill payments",10284267,3248364164
Assam,2021,3,Merchant payments,7431371,8208706348
Assam,2021,3,Financial Services,39479,43889820.5
Assam,2021,3,Others,131732,67715045.34
Assam,2021,4,Peer to Peer Payments,21393962,86801625127
Assam,2021,4,Merchant payments,12895755,13378765006
Assam,2021,4,"Recharge , bill payments",11484376,3842004488
Assam,2021,4,Financial Services,60724,65456475.83
Assam,2021,4,Others,185544,97116796.58
Assam,2022,1,Peer to Peer Payments,27156085,1.09E+11
Assam,2022,1,Merchant payments,19011883,18833132506
Assam,2022,1,"Recharge , bill payments",12474674,4424035840
Assam,2022,1,Financial Services,68432,73257991.39
