States,Year,Quarter,Brand,User_Counts,Percentage
"Andaman , Nicobar Islands",2021,2,Vivo,15056,0.242467187
"Andaman , Nicobar Islands",2021,2,Xiaomi,14788,0.23815122
"Andaman , Nicobar Islands",2021,2,Samsung,11476,0.184813592
"Andaman , Nicobar Islands",2021,2,Oppo,5456,0.087865368
"Andaman , Nicobar Islands",2021,2,Realme,4034,0.064964973
"Andaman , Nicobar Islands",2021,2,OnePlus,1981,0.03190273
"Andaman , Nicobar Islands",2021,2,Huawei,1559,0.025106691
"Andaman , Nicobar Islands",2021,2,Apple,1153,0.018568323
"Andaman , Nicobar Islands",2021,2,Motorola,1054,0.016973991
"Andaman , Nicobar Islands",2021,2,Tecno,974,0.015685643
"Andaman , Nicobar Islands",2021,2,Others,4564,0.073500282
"Andaman , Nicobar Islands",2021,3,Vivo,16411,0.245006121
"Andaman , Nicobar Islands",2021,3,Xiaomi,15938,0.237944522
"Andaman , Nicobar Islands",2021,3,Samsung,12028,0.179570631
"Andaman , Nicobar Islands",2021,3,Oppo,5853,0.087381685
"Andaman , Nicobar Islands",2021,3,Realme,4808,0.071780478
"Andaman , Nicobar Islands",2021,3,OnePlus,2306,0.03442716
"Andaman , Nicobar Islands",2021,3,Huawei,1567,0.023394345
"Andaman , Nicobar Islands",2021,3,Apple,1283,0.0191544
"Andaman , Nicobar Islands",2021,3,Tecno,1178,0.017586814
"Andaman , Nicobar Islands",2021,3,Motorola,1017,0.015183184
"Andaman , Nicobar Islands",2021,3,Others,4593,0.068570661
"Andaman , Nicobar Islands",2021,4,Vivo,17597,0.245151853
"Andaman , Nicobar Islands",2021,4,Xiaomi,16968,0.236388966
"Andaman , Nicobar Islands",2021,4,Samsung,12574,0.175174143
"Andaman , Nicobar Islands",2021,4,Oppo,6127,0.085358038
"Andaman , Nicobar Islands",2021,4,Realme,5830,0.081220396
"Andaman , Nicobar Islands",2021,4,OnePlus,2691,0.037489551
"Andaman , Nicobar Islands",2021,4,Apple,1490,0.020757871
"Andaman , Nicobar Islands",2021,4,Huawei,1459,0.020325996
"Andaman , Nicobar Islands",2021,4,Tecno,1417,0.019740875
"Andaman , Nicobar Islands",2021,4,Motorola,1055,0.014697687
"Andaman , Nicobar Islands",2021,4,Others,4572,0.063694622
"Andaman , Nicobar Islands",2022,1,Vivo,18688,0.244966443
"Andaman , Nicobar Islands",2022,1,Xiaomi,17957,0.235384333
"Andaman , Nicobar Islands",2022,1,Samsung,12955,0.169817009
"Andaman , Nicobar Islands",2022,1,Realme,6769,0.088729551
"Andaman , Nicobar Islands",2022,1,Oppo,6461,0.084692219
"Andaman , Nicobar Islands",2022,1,OnePlus,3005,0.039390206
"Andaman , Nicobar Islands",2022,1,Tecno,1770,0.023201552
"Andaman , Nicobar Islands",2022,1,Apple,1634,0.021418834
"Andaman , Nicobar Islands",2022,1,Huawei,1441,0.018888947
"Andaman , Nicobar Islands",2022,1,Motorola,1050,0.013763633
"Andaman , Nicobar Islands",2022,1,Others,4558,0.059747273
Andhra Pradesh,2018,1,Xiaomi,836581,0.250739858
Andhra Pradesh,2018,1,Samsung,683687,0.204914505
Andhra Pradesh,2018,1,Vivo,425959,0.12766833
Andhra Pradesh,2018,1,Oppo,304487,0.091260771
Andhra Pradesh,2018,1,Realme,236646,0.070927483
Andhra Pradesh,2018,1,Motorola,129739,0.038885342
Andhra Pradesh,2018,1,OnePlus,129421,0.038790031
Andhra Pradesh,2018,1,Apple,123274,0.036947654
Andhra Pradesh,2018,1,Lenovo,84138,0.025217821
Andhra Pradesh,2018,1,Huawei,76654,0.022974719
Andhra Pradesh,2018,1,Others,305864,0.091673485
Andhra Pradesh,2018,2,Xiaomi,1113800,0.252990319
Andhra Pradesh,2018,2,Samsung,903290,0.20517474
Andhra Pradesh,2018,2,Vivo,586965,0.133324172
Andhra Pradesh,2018,2,Oppo,410549,0.093252759
Andhra Pradesh,2018,2,Realme,305964,0.069497154
Andhra Pradesh,2018,2,Motorola,169847,0.03857932
Andhra Pradesh,2018,2,OnePlus,155418,0.035301894
Andhra Pradesh,2018,2,Apple,151847,0.034490771
Andhra Pradesh,2018,2,Lenovo,107441,0.024404321
Andhra Pradesh,2018,2,Huawei,102929,0.023379458
Andhra Pradesh,2018,2,Others,394490,0.089605092
Andhra Pradesh,2018,3,Xiaomi,1385112,0.255197078
Andhra Pradesh,2018,3,Samsung,1103186,0.203254209
Andhra Pradesh,2018,3,Vivo,761793,0.140354966
Andhra Pradesh,2018,3,Oppo,518120,0.095459941
Andhra Pradesh,2018,3,Realme,379712,0.069959247
Andhra Pradesh,2018,3,Motorola,203756,0.0375406
Andhra Pradesh,2018,3,OnePlus,181364,0.033415033
Andhra Pradesh,2018,3,Apple,175343,0.032305706
Andhra Pradesh,2018,3,Huawei,134429,0.024767591
Andhra Pradesh,2018,3,Lenovo,122489,0.022567731
Andhra Pradesh,2018,3,Others,462313,0.085177897
Andhra Pradesh,2018,4,Xiaomi,1753802,0.255752865
Andhra Pradesh,2018,4,Samsung,1388061,0.202417706
Andhra Pradesh,2018,4,Vivo,1011185,0.147458756
Andhra Pradesh,2018,4,Oppo,675093,0.098447242
Andhra Pradesh,2018,4,Realme,476746,0.06952276
Andhra Pradesh,2018,4,Motorola,250601,0.036544561
Andhra Pradesh,2018,4,OnePlus,210161,0.03064729
Andhra Pradesh,2018,4,Apple,209737,0.030585459
Andhra Pradesh,2018,4,Huawei,176237,0.025700232
Andhra Pradesh,2018,4,Lenovo,149583,0.021813341
Andhra Pradesh,2018,4,Others,556203,0.081109789
Andhra Pradesh,2019,1,Xiaomi,2110547,0.254804076
Andhra Pradesh,2019,1,Samsung,1688342,0.203831719
Andhra Pradesh,2019,1,Vivo,1262871,0.152465061
Andhra Pradesh,2019,1,Oppo,835541,0.100873969
Andhra Pradesh,2019,1,Realme,564832,0.068191562
Andhra Pradesh,2019,1,Motorola,291830,0.035232323
Andhra Pradesh,2019,1,Apple,241108,0.02910871
Andhra Pradesh,2019,1,OnePlus,237269,0.028645232
Andhra Pradesh,2019,1,Huawei,220082,0.026570264
Andhra Pradesh,2019,1,Lenovo,171471,0.02070151
Andhra Pradesh,2019,1,Others,659126,0.079575575
Andhra Pradesh,2019,2,Xiaomi,2389374,0.254486445
Andhra Pradesh,2019,2,Samsung,1914378,0.20389577
Andhra Pradesh,2019,2,Vivo,1466695,0.156214137
Andhra Pradesh,2019,2,Oppo,963352,0.102604291
Andhra Pradesh,2019,2,Realme,641519,0.068326637
Andhra Pradesh,2019,2,Motorola,324778,0.034591319
Andhra Pradesh,2019,2,Apple,264860,0.028209598
Andhra Pradesh,2019,2,OnePlus,254273,0.027082002
Andhra Pradesh,2019,2,Huawei,250859,0.026718385
Andhra Pradesh,2019,2,Lenovo,189151,0.020146016
Andhra Pradesh,2019,2,Others,729764,0.077725399
Andhra Pradesh,2019,3,Xiaomi,2656468,0.253996173
Andhra Pradesh,2019,3,Samsung,2123659,0.203052045
Andhra Pradesh,2019,3,Vivo,1674109,0.160068662
Andhra Pradesh,2019,3,Oppo,1087660,0.103995786
Andhra Pradesh,2019,3,Realme,727964,0.069603726
Andhra Pradesh,2019,3,Motorola,348910,0.033360765
Andhra Pradesh,2019,3,Apple,286412,0.027385066
Andhra Pradesh,2019,3,Huawei,282587,0.027019342
Andhra Pradesh,2019,3,OnePlus,271100,0.025921021
Andhra Pradesh,2019,3,Lenovo,194180,0.018566373
Andhra Pradesh,2019,3,Others,805644,0.07703104
Andhra Pradesh,2019,4,Xiaomi,2985953,0.253953284
Andhra Pradesh,2019,4,Samsung,2379139,0.202344163
Andhra Pradesh,2019,4,Vivo,1922141,0.163476793
Andhra Pradesh,2019,4,Oppo,1241235,0.105566198
Andhra Pradesh,2019,4,Realme,844668,0.071838442
Andhra Pradesh,2019,4,Motorola,381692,0.032462647
Andhra Pradesh,2019,4,Huawei,317290,0.0269853
Andhra Pradesh,2019,4,Apple,308354,0.026225299
Andhra Pradesh,2019,4,OnePlus,286412,0.024359147
Andhra Pradesh,2019,4,Lenovo,208785,0.017757023
Andhra Pradesh,2019,4,Others,882214,0.075031704
Andhra Pradesh,2020,1,Xiaomi,3307542,0.253995297
Andhra Pradesh,2020,1,Samsung,2622762,0.201409147
Andhra Pradesh,2020,1,Vivo,2165012,0.166257259
Andhra Pradesh,2020,1,Oppo,1387060,0.106516173
Andhra Pradesh,2020,1,Realme,960418,0.073753154
Andhra Pradesh,2020,1,Motorola,411062,0.031566588
Andhra Pradesh,2020,1,Huawei,348324,0.026748763
Andhra Pradesh,2020,1,Apple,329329,0.025290085
Andhra Pradesh,2020,1,OnePlus,298911,0.022954202
Andhra Pradesh,2020,1,Lenovo,227154,0.017443784
Andhra Pradesh,2020,1,Others,964486,0.074065547
Andhra Pradesh,2020,2,Xiaomi,3635594,0.253888025
Andhra Pradesh,2020,2,Samsung,2888149,0.20169096
Andhra Pradesh,2020,2,Vivo,2409399,0.168257939
Andhra Pradesh,2020,2,Oppo,1535129,0.107204179
Andhra Pradesh,2020,2,Realme,1072165,0.074873557
Andhra Pradesh,2020,2,Motorola,445380,0.031102661
Andhra Pradesh,2020,2,Huawei,379220,0.026482445
Andhra Pradesh,2020,2,Apple,348938,0.024367732
Andhra Pradesh,2020,2,OnePlus,309208,0.021593227
Andhra Pradesh,2020,2,Lenovo,243288,0.016989771
Andhra Pradesh,2020,2,Others,1053205,0.073549504
Andhra Pradesh,2020,3,Xiaomi,3978789,0.253548707
Andhra Pradesh,2020,3,Samsung,3154020,0.200990224
Andhra Pradesh,2020,3,Vivo,2687996,0.171292801
Andhra Pradesh,2020,3,Oppo,1695723,0.108060109
