States,Year,Quarter,District,Trans_Counts,Amount
Andhra Pradesh,2020,2,Guntur District,12308707,27463593608
Andhra Pradesh,2020,2,Krishna District,12313709,26964149095
Andhra Pradesh,2020,3,East Godavari District,17972431,39300043805
Andhra Pradesh,2020,3,Srikakulam District,8286289,18029574581
Andhra Pradesh,2020,3,Spsr Nellore District,16468209,39128324534
Andhra Pradesh,2020,3,Vizianagaram District,8236703,17567816577
Andhra Pradesh,2020,3,Visakhapatnam District,34421299,67628440368
Andhra Pradesh,2020,3,Prakasam District,12266310,31221704852
Andhra Pradesh,2020,3,Anantapur District,14447683,34102037973
Andhra Pradesh,2020,3,Ysr District,11934653,32037007334
Andhra Pradesh,2020,3,West Godavari District,10412351,25408608726
Andhra Pradesh,2020,3,Kurnool District,13243292,32529351107
Andhra Pradesh,2020,3,Chittoor District,20501863,42811566246
Andhra Pradesh,2020,3,Guntur District,17601395,42531195810
Andhra Pradesh,2020,3,Krishna District,19110457,44788458672
Andhra Pradesh,2020,4,East Godavari District,25989490,58732615663
Andhra Pradesh,2020,4,Srikakulam District,11092184,25222520275
Andhra Pradesh,2020,4,Spsr Nellore District,20934374,49115443663
Andhra Pradesh,2020,4,Vizianagaram District,10580824,24094847668
Andhra Pradesh,2020,4,Visakhapatnam District,46551467,91879823025
Andhra Pradesh,2020,4,Prakasam District,16176867,41852443494
Andhra Pradesh,2020,4,Anantapur District,20996384,49732610814
Andhra Pradesh,2020,4,Ysr District,15676878,42572974713
Andhra Pradesh,2020,4,West Godavari District,15674762,40310975763
Andhra Pradesh,2020,4,Kurnool District,18737323,44718203115
Andhra Pradesh,2020,4,Chittoor District,29590411,61505711150
Andhra Pradesh,2020,4,Guntur District,26136538,60641872021
Andhra Pradesh,2020,4,Krishna District,27981050,64461504668
Andhra Pradesh,2021,1,East Godavari District,26190701,60027984988
Andhra Pradesh,2021,1,Srikakulam District,11160473,26486623313
Andhra Pradesh,2021,1,Spsr Nellore District,22541428,52210333202
Andhra Pradesh,2021,1,Vizianagaram District,10514582,24153782497
Andhra Pradesh,2021,1,Visakhapatnam District,48248923,95308386038
Andhra Pradesh,2021,1,Prakasam District,15175395,41396223622
Andhra Pradesh,2021,1,Anantapur District,20102957,48353870395
Andhra Pradesh,2021,1,Ysr District,15374473,42570919449
Andhra Pradesh,2021,1,West Godavari District,16015685,42124030669
Andhra Pradesh,2021,1,Kurnool District,17918524,44941629660
Andhra Pradesh,2021,1,Chittoor District,29342609,60947491847
Andhra Pradesh,2021,1,Guntur District,27445045,64207987853
Andhra Pradesh,2021,1,Krishna District,29717175,69715406645
Andhra Pradesh,2021,2,East Godavari District,31717908,74604325864
Andhra Pradesh,2021,2,Srikakulam District,13546232,32298129545
Andhra Pradesh,2021,2,Spsr Nellore District,30290406,72283071757
Andhra Pradesh,2021,2,Vizianagaram District,12689494,29140685237
Andhra Pradesh,2021,2,Visakhapatnam District,54390299,1.14E+11
Andhra Pradesh,2021,2,Prakasam District,19944047,54535328043
Andhra Pradesh,2021,2,Anantapur District,25123346,60987487571
Andhra Pradesh,2021,2,Ysr District,18457361,52523527031
Andhra Pradesh,2021,2,West Godavari District,20950964,57233116236
Andhra Pradesh,2021,2,Kurnool District,21972396,56659287475
Andhra Pradesh,2021,2,Chittoor District,34344902,73654690122
Andhra Pradesh,2021,2,Guntur District,32968819,82356914464
Andhra Pradesh,2021,2,Krishna District,36370960,90021923050
Andhra Pradesh,2021,3,East Godavari District,39572714,89380370073
Andhra Pradesh,2021,3,Srikakulam District,15639768,34836400770
Andhra Pradesh,2021,3,Spsr Nellore District,34411958,77839676988
Andhra Pradesh,2021,3,Vizianagaram District,14510005,31383541628
Andhra Pradesh,2021,3,Visakhapatnam District,69220981,1.37E+11
Andhra Pradesh,2021,3,Prakasam District,24116580,63367713447
Andhra Pradesh,2021,3,Anantapur District,30366444,70291248156
Andhra Pradesh,2021,3,Ysr District,22439316,60683557725
Andhra Pradesh,2021,3,West Godavari District,26245039,66647238455
Andhra Pradesh,2021,3,Kurnool District,26377809,62527453762
Andhra Pradesh,2021,3,Chittoor District,42628568,89371931753
Andhra Pradesh,2021,3,Guntur District,41675093,96525353090
Andhra Pradesh,2021,3,Krishna District,44828275,1.04E+11
Andhra Pradesh,2021,4,East Godavari District,48992531,1.07E+11
Andhra Pradesh,2021,4,Srikakulam District,18501857,39713657870
Andhra Pradesh,2021,4,Spsr Nellore District,41921081,92256405076
Andhra Pradesh,2021,4,Vizianagaram District,17253059,36577529465
Andhra Pradesh,2021,4,Visakhapatnam District,82711538,1.60E+11
Andhra Pradesh,2021,4,Prakasam District,27858275,71323060008
Andhra Pradesh,2021,4,Anantapur District,36129136,81239787007
Andhra Pradesh,2021,4,Ysr District,26340348,69081850069
Andhra Pradesh,2021,4,West Godavari District,33235175,81292461575
Andhra Pradesh,2021,4,Kurnool District,31782248,73968947670
Andhra Pradesh,2021,4,Chittoor District,51119640,1.04E+11
Andhra Pradesh,2021,4,Guntur District,50919286,1.16E+11
Andhra Pradesh,2021,4,Krishna District,55489829,1.25E+11
Andhra Pradesh,2022,1,East Godavari District,54738830,1.21E+11
Andhra Pradesh,2022,1,Srikakulam District,20990782,46898912116
Andhra Pradesh,2022,1,Spsr Nellore District,47645702,1.05E+11
Andhra Pradesh,2022,1,Vizianagaram District,19278262,41994853362
Andhra Pradesh,2022,1,Visakhapatnam District,88233362,1.70E+11
Andhra Pradesh,2022,1,Prakasam District,31340975,79494373255
Andhra Pradesh,2022,1,Anantapur District,40613148,90197023268
Andhra Pradesh,2022,1,Ysr District,29783739,78421693519
Andhra Pradesh,2022,1,West Godavari District,37271259,92397939904
Andhra Pradesh,2022,1,Kurnool District,35093633,81568420501
Andhra Pradesh,2022,1,Chittoor District,58561024,1.18E+11
Andhra Pradesh,2022,1,Guntur District,57226996,1.30E+11
Andhra Pradesh,2022,1,Krishna District,61826199,1.40E+11
Andhra Pradesh,2022,2,East Godavari District,62072845,1.36E+11
Andhra Pradesh,2022,2,Srikakulam District,23727353,53754764122
Andhra Pradesh,2022,2,Spsr Nellore District,54838708,1.22E+11
Andhra Pradesh,2022,2,Vizianagaram District,21766135,47294745020
Andhra Pradesh,2022,2,Visakhapatnam District,101387402,1.93E+11
Andhra Pradesh,2022,2,Prakasam District,36163507,90435082546
Andhra Pradesh,2022,2,Anantapur District,46099366,1.02E+11
Andhra Pradesh,2022,2,Ysr District,33154559,87601310070
Andhra Pradesh,2022,2,West Godavari District,44409239,1.08E+11
Andhra Pradesh,2022,2,Kurnool District,40165692,92409350856
Andhra Pradesh,2022,2,Chittoor District,67507661,1.36E+11
Andhra Pradesh,2022,2,Guntur District,66315749,1.47E+11
Andhra Pradesh,2022,2,Krishna District,73525814,1.64E+11
Andhra Pradesh,2022,3,East Godavari District,61467134,1.30E+11
Andhra Pradesh,2022,3,Srikakulam District,22126541,46899962922
Andhra Pradesh,2022,3,Spsr Nellore District,42116582,95099325968
Andhra Pradesh,2022,3,Vizianagaram District,20440645,42513313395
Andhra Pradesh,2022,3,Visakhapatnam District,97434546,1.81E+11
Andhra Pradesh,2022,3,Prakasam District,35376080,87475230073
Andhra Pradesh,2022,3,Anantapur District,45165363,97735649608
Andhra Pradesh,2022,3,Ysr District,33119038,86016932181
Andhra Pradesh,2022,3,West Godavari District,43635951,1.02E+11
Andhra Pradesh,2022,3,Kurnool District,39557913,88415335176
Andhra Pradesh,2022,3,Chittoor District,65751781,1.33E+11
Andhra Pradesh,2022,3,Guntur District,65612317,1.42E+11
Andhra Pradesh,2022,3,Krishna District,71051144,1.54E+11
Andhra Pradesh,2022,4,East Godavari District,68016055,1.37E+11
Andhra Pradesh,2022,4,Srikakulam District,23693779,47726411108
Andhra Pradesh,2022,4,Spsr Nellore District,42582064,92085916181
Andhra Pradesh,2022,4,Vizianagaram District,22205190,44467386404
Andhra Pradesh,2022,4,Visakhapatnam District,103790055,1.85E+11
Andhra Pradesh,2022,4,Prakasam District,37211077,88105031866
Andhra Pradesh,2022,4,Anantapur District,48299601,1.02E+11
Andhra Pradesh,2022,4,Ysr District,35201596,87360426793
Andhra Pradesh,2022,4,West Godavari District,47919930,1.05E+11
Andhra Pradesh,2022,4,Kurnool District,43524766,94667441029
Andhra Pradesh,2022,4,Chittoor District,70322534,1.37E+11
Andhra Pradesh,2022,4,Guntur District,70723763,1.47E+11
Andhra Pradesh,2022,4,Krishna District,76526667,1.58E+11
Arunachal Pradesh,2018,1,Lower Dibang Valley District,1356,1076236.814
Arunachal Pradesh,2018,1,Lower Subansiri District,1477,3650727.894
Arunachal Pradesh,2018,1,Longding District,2321,4361531.578
Arunachal Pradesh,2018,1,West Siang District,1887,4796675.565
Arunachal Pradesh,2018,1,Kamle District,14,7971.330495
Arunachal Pradesh,2018,1,Upper Siang District,126,186610.6699
Arunachal Pradesh,2018,1,Tirap District,945,1064265
Arunachal Pradesh,2018,1,Papum Pare District,14224,32555848.46
Arunachal Pradesh,2018,1,Kurung Kumey District,84,99416.58027
Arunachal Pradesh,2018,1,Siang District,252,339471.8043
Arunachal Pradesh,2018,1,Lower Siang District,1292,2337960.715
Arunachal Pradesh,2018,1,Kra Daadi District,207,495375.1455
Arunachal Pradesh,2018,1,Changlang District,3195,5380749.415
Arunachal Pradesh,2018,1,Pakke Kessang District,9,9131.404206
Arunachal Pradesh,2018,1,Dibang Valley District,2,169.8885654
Arunachal Pradesh,2018,1,West Kameng District,5787,9540632.547
Arunachal Pradesh,2018,1,East Siang District,3286,5533620.186
Arunachal Pradesh,2018,1,Upper Subansiri District,735,1358367.502
Arunachal Pradesh,2018,1,East Kameng District,529,473824.766
Arunachal Pradesh,2018,1,Lohit District,3747,11496949.55
Arunachal Pradesh,2018,1,Lepa Rada District,288,403149.467
Arunachal Pradesh,2018,1,Tawang District,2334,5055665.023
Arunachal Pradesh,2018,1,Namsai District,1400,2162984.705
Arunachal Pradesh,2018,2,Lower Dibang Valley District,1827,2561237.506
Arunachal Pradesh,2018,2,Lower Subansiri District,1666,4113742.044
Arunachal Pradesh,2018,2,Longding District,4634,10271170.17
Arunachal Pradesh,2018,2,West Siang District,2579,7610989.567
Arunachal Pradesh,2018,2,Kamle District,12,23654.05837
Arunachal Pradesh,2018,2,Upper Siang District,240,494895.0928
Arunachal Pradesh,2018,2,Tirap District,1903,3126393.765
Arunachal Pradesh,2018,2,Papum Pare District,25363,66520931.2
Arunachal Pradesh,2018,2,Kurung Kumey District,83,123737.222
Arunachal Pradesh,2018,2,Anjaw District,7,7871.020815
Arunachal Pradesh,2018,2,Siang District,336,740232.631
Arunachal Pradesh,2018,2,Lower Siang District,2292,2179451.658
Arunachal Pradesh,2018,2,Kra Daadi District,247,987135.996
Arunachal Pradesh,2018,2,Changlang District,6066,13294258.5
Arunachal Pradesh,2018,2,Pakke Kessang District,48,58359.57139
Arunachal Pradesh,2018,2,Dibang Valley District,68,65769.20367
Arunachal Pradesh,2018,2,West Kameng District,10466,25521321.34
Arunachal Pradesh,2018,2,East Siang District,6363,15285584.2
Arunachal Pradesh,2018,2,Upper Subansiri District,1285,2911910.369
Arunachal Pradesh,2018,2,East Kameng District,522,1825297.462
Arunachal Pradesh,2018,2,Lohit District,6962,20520618.88
Arunachal Pradesh,2018,2,Lepa Rada District,511,731444.7371
Arunachal Pradesh,2018,2,Tawang District,5447,13722374.81
Arunachal Pradesh,2018,2,Namsai District,3230,6271811.328
Arunachal Pradesh,2018,3,Lower Dibang Valley District,2824,6074558.207
Arunachal Pradesh,2018,3,Lower Subansiri District,2346,5154231.737
Arunachal Pradesh,2018,3,Longding District,5288,18327334.05
Arunachal Pradesh,2018,3,West Siang District,3337,12966152.79
Arunachal Pradesh,2018,3,Kamle District,93,30504.94301
Arunachal Pradesh,2018,3,Upper Siang District,250,743956.1056
Arunachal Pradesh,2018,3,Tirap District,3322,7479257.008
Arunachal Pradesh,2018,3,Papum Pare District,43282,101080479.3
Arunachal Pradesh,2018,3,Kurung Kumey District,255,303027.4066
Arunachal Pradesh,2018,3,Anjaw District,13,95403.67678
Arunachal Pradesh,2018,3,Siang District,615,2141734.5
Arunachal Pradesh,2018,3,Lower Siang District,2625,3045590.882
Arunachal Pradesh,2018,3,Kra Daadi District,436,1606758.408
Arunachal Pradesh,2018,3,Changlang District,10162,20494174.95
