States,Year,Quarter,District,Trans_Counts,Amount
Rajasthan,2021,1,Ajmer,7053995,15317166378
Rajasthan,2021,1,Udaipur,6826421,10957000442
Rajasthan,2021,1,Dausa,4999310,8786072972
Rajasthan,2021,1,Nagaur,4976059,12761075160
Rajasthan,2021,2,Jaipur,137247139,2.48E+11
Rajasthan,2021,2,Alwar,14291357,26436939538
Rajasthan,2021,2,Jodhpur,12941666,27913789332
Rajasthan,2021,2,Kota,9960676,18087598514
Rajasthan,2021,2,Sikar,8840543,19750164304
Rajasthan,2021,2,Bhilwara,8735150,17984159143
Rajasthan,2021,2,Ajmer,7863986,16687418391
Rajasthan,2021,2,Nagaur,6493229,15639817786
Rajasthan,2021,2,Dausa,6410357,10828124761
Rajasthan,2021,2,Udaipur,6280736,10800769538
Rajasthan,2021,3,Jaipur,193839196,3.14E+11
Rajasthan,2021,3,Jodhpur,19263957,38514689413
Rajasthan,2021,3,Alwar,18956440,31796623473
Rajasthan,2021,3,Kota,13858632,22356848821
Rajasthan,2021,3,Bhilwara,12558408,23899765687
Rajasthan,2021,3,Sikar,12157675,24859966681
Rajasthan,2021,3,Ajmer,12039695,23974005141
Rajasthan,2021,3,Udaipur,10000681,15950385929
Rajasthan,2021,3,Nagaur,8542495,19712431243
Rajasthan,2021,3,Dausa,8175162,12267753351
Rajasthan,2021,4,Jaipur,231804892,3.94E+11
Rajasthan,2021,4,Jodhpur,23671637,49201187505
Rajasthan,2021,4,Alwar,23661509,40984441151
Rajasthan,2021,4,Bhilwara,15373212,29555829037
Rajasthan,2021,4,Ajmer,15049250,31040109508
Rajasthan,2021,4,Sikar,14946567,32671486020
Rajasthan,2021,4,Kota,14912645,24168234009
Rajasthan,2021,4,Udaipur,12082286,19874244609
Rajasthan,2021,4,Nagaur,10615952,25959911336
Rajasthan,2021,4,Dausa,10142219,16190233721
Rajasthan,2022,1,Jaipur,262950613,4.35E+11
Rajasthan,2022,1,Jodhpur,27810577,56966935615
Rajasthan,2022,1,Alwar,27462202,46051829716
Rajasthan,2022,1,Kota,19207151,30335394639
Rajasthan,2022,1,Bhilwara,18219742,34832214593
Rajasthan,2022,1,Ajmer,17973292,36567659945
Rajasthan,2022,1,Sikar,16975662,35691652892
Rajasthan,2022,1,Udaipur,13527713,22322610838
Rajasthan,2022,1,Nagaur,12629151,30251543728
Rajasthan,2022,1,Bikaner,11656264,23262580003
Rajasthan,2022,2,Jaipur,314511010,4.97E+11
Rajasthan,2022,2,Alwar,31488094,50746151173
Rajasthan,2022,2,Jodhpur,31463295,61614349060
Rajasthan,2022,2,Kota,22930803,36055197912
Rajasthan,2022,2,Ajmer,20900496,40715583331
Rajasthan,2022,2,Bhilwara,20131391,38273076738
Rajasthan,2022,2,Sikar,19932783,40102076742
Rajasthan,2022,2,Udaipur,15896129,24912652508
Rajasthan,2022,2,Nagaur,14631304,33408260595
Rajasthan,2022,2,Bikaner,13694139,26087476960
Rajasthan,2022,3,Jaipur,377469909,5.65E+11
Rajasthan,2022,3,Jodhpur,44177624,78522559027
Rajasthan,2022,3,Alwar,35823235,53614596972
Rajasthan,2022,3,Ajmer,28082495,49547976214
Rajasthan,2022,3,Kota,22439613,32238127933
Rajasthan,2022,3,Bhilwara,22210445,37982785217
Rajasthan,2022,3,Sikar,21334188,40269671901
Rajasthan,2022,3,Udaipur,17437737,26920987877
Rajasthan,2022,3,Nagaur,17110682,34696357961
Rajasthan,2022,3,Bikaner,15580963,27371553576
Rajasthan,2022,4,Jaipur,404922774,6.35E+11
Rajasthan,2022,4,Jodhpur,65465040,1.16E+11
Rajasthan,2022,4,Alwar,38922404,61077684974
Rajasthan,2022,4,Bhilwara,27720484,47886590519
Rajasthan,2022,4,Ajmer,27641155,51933913055
Rajasthan,2022,4,Udaipur,26954261,41938245497
Rajasthan,2022,4,Kota,26571402,37841298987
Rajasthan,2022,4,Sikar,23710055,48095846112
Rajasthan,2022,4,Nagaur,20286836,43215070664
Rajasthan,2022,4,Bikaner,16072144,30210151812
Sikkim,2018,1,East,24432,35907388.05
Sikkim,2018,1,South,11355,16098282.75
Sikkim,2018,1,West,4845,7468491.334
Sikkim,2018,1,North,3446,5176776.803
Sikkim,2018,2,East,40432,83823658.19
Sikkim,2018,2,South,16740,27651617.53
Sikkim,2018,2,West,10671,19368446.48
Sikkim,2018,2,North,6735,12849363.32
Sikkim,2018,3,East,59571,133322127
Sikkim,2018,3,South,24662,40036375.96
Sikkim,2018,3,West,14121,33797876.57
Sikkim,2018,3,North,10146,27923847.4
Sikkim,2018,4,East,84485,216960325.4
Sikkim,2018,4,South,34495,60113689.05
Sikkim,2018,4,West,19567,51859359.65
Sikkim,2018,4,North,15986,54207984.03
Sikkim,2019,1,East,155482,291845618
Sikkim,2019,1,South,47506,76869333.72
Sikkim,2019,1,West,21489,46329216.02
Sikkim,2019,1,North,15810,42949466.66
Sikkim,2019,2,East,297652,538259507.8
Sikkim,2019,2,South,45712,82937894.82
Sikkim,2019,2,West,26024,63325567.84
Sikkim,2019,2,North,18856,54371272.97
Sikkim,2019,3,East,429201,643298304.7
Sikkim,2019,3,South,61142,106415589.3
Sikkim,2019,3,West,33550,66514136.58
Sikkim,2019,3,North,28543,68488417.92
Sikkim,2019,4,East,616761,877636921.2
Sikkim,2019,4,South,73099,121803196.1
Sikkim,2019,4,West,43955,92445262.77
Sikkim,2019,4,North,33255,84624221.59
Sikkim,2020,1,East,360279,729478141.6
Sikkim,2020,1,South,82456,138401236.4
Sikkim,2020,1,West,49913,100981561.5
Sikkim,2020,1,North,35470,84615332.46
Sikkim,2020,2,East,304581,653853477.5
Sikkim,2020,2,South,95669,152837659.2
Sikkim,2020,2,West,69860,121265798.7
Sikkim,2020,2,North,47621,126661852.9
Sikkim,2020,3,East,353881,869648385.4
Sikkim,2020,3,South,104888,202497013.7
Sikkim,2020,3,West,79994,165556236.4
Sikkim,2020,3,North,57672,163225093.1
Sikkim,2020,4,East,428732,1129627876
Sikkim,2020,4,South,130339,292804584.2
Sikkim,2020,4,West,95163,245657098.1
Sikkim,2020,4,North,80801,251186246.6
Sikkim,2021,1,East,516158,1432658383
Sikkim,2021,1,South,127233,310128541.2
Sikkim,2021,1,West,88532,254432217.5
Sikkim,2021,1,North,68266,220448585
Sikkim,2021,2,East,635504,1575867391
Sikkim,2021,2,South,157530,344012187.2
Sikkim,2021,2,West,102322,248942844.2
Sikkim,2021,2,North,81358,256077157.4
Sikkim,2021,3,East,757493,1937906269
Sikkim,2021,3,South,188063,416609481.7
Sikkim,2021,3,West,116665,312940476.2
Sikkim,2021,3,North,98373,321880637
Sikkim,2021,4,East,1071092,2791933180
Sikkim,2021,4,South,238464,546711693.5
Sikkim,2021,4,West,146397,436365769.1
Sikkim,2021,4,North,128392,421772618.6
Sikkim,2022,1,East,1173942,2887894589
Sikkim,2022,1,South,281076,619438912.4
Sikkim,2022,1,West,165446,468296204.3
Sikkim,2022,1,North,123838,391801570.5
Sikkim,2022,2,East,1540255,3736097006
Sikkim,2022,2,South,391808,756330708.2
Sikkim,2022,2,West,215921,578171483.9
Sikkim,2022,2,North,174097,540506472.7
Sikkim,2022,3,East,1604446,3375012613
Sikkim,2022,3,South,406488,760409362.3
Sikkim,2022,3,West,204845,503543689.9
Sikkim,2022,3,North,180979,523914878.6
Sikkim,2022,4,East,2227237,4615052808
Sikkim,2022,4,South,410951,731151545.3
Sikkim,2022,4,West,222875,569473212.2
Sikkim,2022,4,North,197276,542707823.8
Tamilnadu,2018,1,Chennai,2656230,4281137763
Tamilnadu,2018,1,Chengalpattu,569483,1030187165
Tamilnadu,2018,1,Coimbatore,533919,913824434.6
Tamilnadu,2018,1,Thiruvallur,413340,730210413.7
Tamilnadu,2018,1,Kancheepuram,308279,538409899
Tamilnadu,2018,1,Tiruppur,239740,423271979.7
Tamilnadu,2018,1,Salem,219916,375963971.7
Tamilnadu,2018,1,Krishnagiri,153618,253907426.2
Tamilnadu,2018,1,Tiruchirappalli,149186,262528157.2
Tamilnadu,2018,1,Madurai,129858,232151304.3
Tamilnadu,2018,2,Chennai,3719593,7305357441
Tamilnadu,2018,2,Coimbatore,871802,1722112067
Tamilnadu,2018,2,Chengalpattu,829689,1681243537
Tamilnadu,2018,2,Thiruvallur,615860,1281039199
Tamilnadu,2018,2,Kancheepuram,460276,926687779.5
Tamilnadu,2018,2,Tiruppur,391330,829169121.1
Tamilnadu,2018,2,Salem,333175,709542959.2
Tamilnadu,2018,2,Tiruchirappalli,245903,507249777.4
Tamilnadu,2018,2,Krishnagiri,240421,518922355.2
Tamilnadu,2018,2,Madurai,213788,460415565.2
Tamilnadu,2018,3,Chennai,5887343,10122319547
Tamilnadu,2018,3,Coimbatore,1469560,2559173878
Tamilnadu,2018,3,Chengalpattu,1337462,2362109206
Tamilnadu,2018,3,Thiruvallur,957503,1926378415
Tamilnadu,2018,3,Kancheepuram,766192,1416878619
Tamilnadu,2018,3,Tiruppur,583538,1259741718
Tamilnadu,2018,3,Salem,484460,980781000.4
Tamilnadu,2018,3,Krishnagiri,421247,853575950.9
Tamilnadu,2018,3,Tiruchirappalli,342744,723073924.7
Tamilnadu,2018,3,Madurai,322515,702347696.9
Tamilnadu,2018,4,Chennai,8007699,14632395111
Tamilnadu,2018,4,Chengalpattu,1974233,3371036661
Tamilnadu,2018,4,Coimbatore,1902305,3656789906
Tamilnadu,2018,4,Thiruvallur,1578958,2979682371
Tamilnadu,2018,4,Kancheepuram,1161731,2100098548
Tamilnadu,2018,4,Tiruppur,811860,1780229998
Tamilnadu,2018,4,Salem,696312,1471377592
Tamilnadu,2018,4,Krishnagiri,593519,1260396240
Tamilnadu,2018,4,Tiruchirappalli,521026,1117403133
Tamilnadu,2018,4,Madurai,474612,1067216903
Tamilnadu,2019,1,Chennai,11642449,18810971715
Tamilnadu,2019,1,Chengalpattu,3285713,4918695631
Tamilnadu,2019,1,Coimbatore,2709665,5072064994
Tamilnadu,2019,1,Thiruvallur,2305713,3957616692
Tamilnadu,2019,1,Kancheepuram,1732340,2735468905
Tamilnadu,2019,1,Tiruppur,1078231,2186722074
Tamilnadu,2019,1,Salem,949562,1916555035
Tamilnadu,2019,1,Krishnagiri,848874,1549327562
Tamilnadu,2019,1,Tiruchirappalli,739515,1460934060
Tamilnadu,2019,1,Madurai,662080,1386372055
Tamilnadu,2019,2,Chennai,10577435,20366477248
Tamilnadu,2019,2,Chengalpattu,3719692,5655296089
Tamilnadu,2019,2,Coimbatore,3191687,7063644440
Tamilnadu,2019,2,Thiruvallur,2486358,4674408138
Tamilnadu,2019,2,Kancheepuram,1656532,2936409444
Tamilnadu,2019,2,Tiruppur,1179119,2631888253
Tamilnadu,2019,2,Salem,1018100,2340941776
Tamilnadu,2019,2,Tiruchirappalli,776306,1748258486
Tamilnadu,2019,2,Madurai,741073,1703311128
Tamilnadu,2019,2,Krishnagiri,663016,1504554590
Tamilnadu,2019,3,Chennai,11333032,23024193806
Tamilnadu,2019,3,Chengalpattu,5765425,7255276541
Tamilnadu,2019,3,Coimbatore,4303835,9457627886
Tamilnadu,2019,3,Thiruvallur,3497534,5790229761
Tamilnadu,2019,3,Kancheepuram,2374121,3749463856
Tamilnadu,2019,3,Tiruppur,1583318,3459384834
Tamilnadu,2019,3,Salem,1348219,3089948772
Tamilnadu,2019,3,Tiruchirappalli,1028271,2283457399
Tamilnadu,2019,3,Madurai,1004838,2163231650
Tamilnadu,2019,3,Krishnagiri,906439,1897364249
Tamilnadu,2019,4,Chennai,16437269,31810645818
Tamilnadu,2019,4,Chengalpattu,7809082,9083457171
Tamilnadu,2019,4,Coimbatore,5937176,11949970483
Tamilnadu,2019,4,Thiruvallur,4441180,7308502938
Tamilnadu,2019,4,Kancheepuram,3134851,4643283493
Tamilnadu,2019,4,Tiruppur,2020118,4339514037
Tamilnadu,2019,4,Salem,1754893,3897469229
Tamilnadu,2019,4,Tiruchirappalli,1364259,2850823023
Tamilnadu,2019,4,Madurai,1315576,2775348044
Tamilnadu,2019,4,Krishnagiri,1302647,2599923579
Tamilnadu,2020,1,Chennai,21747309,40923609646
Tamilnadu,2020,1,Chengalpattu,8891884,10378205349
Tamilnadu,2020,1,Coimbatore,6238270,11125605562
Tamilnadu,2020,1,Thiruvallur,5190597,8255497495
Tamilnadu,2020,1,Kancheepuram,3618880,5144042351
Tamilnadu,2020,1,Tiruppur,1918620,3829323477
Tamilnadu,2020,1,Salem,1816883,3938965855
Tamilnadu,2020,1,Krishnagiri,1806032,3381602584
Tamilnadu,2020,1,Madurai,1334450,2667507197
Tamilnadu,2020,1,Vellore,1236004,1793602013
Tamilnadu,2020,2,Chennai,12611208,29147317645
Tamilnadu,2020,2,Coimbatore,4598586,9331489603
Tamilnadu,2020,2,Chengalpattu,3911793,5672393785
Tamilnadu,2020,2,Thiruvallur,3872452,6511946064
Tamilnadu,2020,2,Kancheepuram,2203060,3393883768
Tamilnadu,2020,2,Salem,1996687,3860454262
Tamilnadu,2020,2,Krishnagiri,1815882,2926042853
Tamilnadu,2020,2,Tiruppur,1672101,2911511484
Tamilnadu,2020,2,Madurai,1479517,2674909378
Tamilnadu,2020,2,Tiruchirappalli,1239752,2259353198
Tamilnadu,2020,3,Chennai,17354210,39868873382
Tamilnadu,2020,3,Coimbatore,6742559,13861133095
Tamilnadu,2020,3,Thiruvallur,5496010,10295422113
Tamilnadu,2020,3,Chengalpattu,5205491,7909757202
Tamilnadu,2020,3,Kancheepuram,3333347,5572087481
Tamilnadu,2020,3,Salem,3016579,6990924402
Tamilnadu,2020,3,Krishnagiri,2701216,4989224721
Tamilnadu,2020,3,Tiruppur,2654998,5542739051
Tamilnadu,2020,3,Madurai,2157858,4867134340
Tamilnadu,2020,3,Erode,1662818,3580607369
Tamilnadu,2020,4,Chennai,24172148,46230345977
